"unclean","clean"
"Please leave this topic..sorry for telling that..","Please leave this topic. Sorry for telling that."
"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem","Yo, I am at my parents' getting cash. Good news: we picked up a downstem."
"Left dessert. U wan me 2 go suntec look 4 u?","Left dessert. You want me to go to Suntec to look for you?"
"Eh u send wrongly lar...","Eh, you sent wrongly, lah..."
"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?","Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?"
"Nah man, my car is meant to be crammed full of people","No, man, my car is meant to be crammed full of people."
"I'm working technical support :)voice process.networking field.","I am working in technical support, voice process, and networking field."
"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...","A percentage of people marry their lovers because they have good understanding that avoids problems. I sent this to you, you will get good news on Friday by the person you like. And tomorrow will be the best day of your life. Don't break this chain. If you break you will suffer. Send this to &lt;#&gt; friends in &lt;#&gt; mins when you read..."
"Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.","Yes. They replied to my mail. I am going to the management office later. Plus, I will go into the bank later also, or on Wednesday."
"You're right I have now that I think about it","You are right. I have, now that I think about it."
"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\""""","Hi darling, I cannot do anything tomorrow as my parents are taking me out for a meal. When are you free? Katexxx"
"I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.","I wish things were different. I wonder when I will be able to show you how much I value you. Please continue the brisk walks, no drugs without asking me please, and find things to laugh about. I love you dearly."
"Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...","I am not working, but I am up to my eyes in philosophy, so I will text you later when a bit more free for chat..."
"Why are u up so early?","Why are you up so early?"
"I‰Û÷ll leave around four, ok?","I will leave around four, okay?"
"I will lick up every drop :) are you ready to use your mouth as well?","I will lick up every drop. :) Are you ready to use your mouth as well?"
"He's just gonna worry for nothing. And he won't give you money its no use.","He is just going to worry for nothing, and he will not give you money, it is no use."
"Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .","Your account has been refilled successfully by INR &lt;DECIMAL&gt;. Your KeralaCircle prepaid account balance is Rupees &lt;DECIMAL&gt;. Your transaction ID is KR &lt;#&gt;."
"Haha... dont be angry with yourself... Take it as a practice for the real thing. =) ","Haha... Don't be angry with yourself... Take it as a practice for the real thing. =)"
"Nah, Wednesday. When should I bring the mini cheetos bag over?","No, Wednesday. When should I bring the mini Cheetos bag over?"
"Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM","Let your heart be your compass, your mind your map, your soul your guide, and you will never lose in the world. Good night and have a nice dream. - Sent via WAY2SMS.COM"
"Sorry, I'll call later","Sorry, I will call later."
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!","Do you know why God created a gap between your fingers? So that one who is made for you comes and fills those gaps by holding your hand with love!"
"Will be office around 4 pm. Now i am going hospital.","I will be in the office around 4 pm. Now I am going to the hospital."
"Geeeee ... I love you so much I can barely stand it","Geeeee... I love you so much I can barely stand it."
"Okie","Okay."
"She's fine. Good to hear from you. How are you my dear? Happy new year oh.","She's fine. Good to hear from you. How are you, my dear? Happy new year, oh."
"Yes baby! We can study all the positions of the kama sutra ;)","Yes baby! We can study all the positions of the kama sutra ;)"
"I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie","I love you too babe! Are you sure everything is alright? Is he being an idiot? Text back, girlie."
"Eat at old airport road... But now 630 oredi... Got a lot of pple...","Eat at Old Airport Road... But now it is 6:30 already... Got a lot of people..."
"Can do lor...","Can do, lor..."
"Jay told me already, will do","Jay told me already, will do."
"Pls dont restrict her from eating anythin she likes for the next two days.","Please do not restrict her from eating anything she likes for the next two days."
"And popping &lt;#&gt; ibuprofens was no help.","And popping &lt;#&gt; ibuprofens was no help."
"'Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-).","'Whenever I want to fall in love with my books, my bed falls in love with me..!' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Good evening."
"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya","That call cost one dollar and twenty cents, which I guess isn't bad. Miss you, need you, want you, love you."
"Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?","Hiya. How was last night? I have been naughty and bought myself clothes and very little... Ready for more shopping, though! What kind of time do you want to meet?"
"Yeah no probs - last night is obviously catching up with you... Speak soon ","Yeah, no problems - last night is obviously catching up with you... Speak soon."
"Only once then after ill obey all yours.","Only once, then after I will obey all of yours."
"U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.","You do not know how stubborn I am. I did not even want to go to the hospital. I kept telling Mark I am not a weak sucker. Hospitals are for weak suckers."
"True. Its easier with her here.","True. It's easier with her here."
"Perhaps * is much easy give your account identification, so i will tomorrow at UNI","Perhaps it is much easier to give your account identification, so I will tomorrow at UNI."
"Oh :-)only 4 outside players allowed to play know","Oh, only for outside players allowed to play know."
"I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy","I am not answering any phone at what is actually a pretty reasonable hour, but I am sleepy."
"Got meh... When?","Got me... When?"
"Ok i shall talk to him","Okay, I shall talk to him."
"Damn, poor zac doesn't stand a chance","Damn, poor Zac doesn't stand a chance."
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?","Watching cartoons, listening to music, and at evening, had to go to the temple and church. What about you?"
"No plans yet. What are you doing ?","No plans yet. What are you doing?"
"The word \Checkmate\"" in chess comes from the Persian phrase \""Shah Maat\"" which means; \""the king is dead..\"" Goodmorning.. Have a good day..:)""","The word ""Checkmate"" in chess comes from the Persian phrase ""Shah Maat,"" which means, ""the king is dead."" Good morning. Have a good day. :)"
"Shb b ok lor... Thanx...","Should be okay, lah. Thanks."
"It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.","It did not work again oh. Okay, good night then. I'll fix and have it ready by the time you wake up. You are very dearly missed; have a good night's sleep."
"ARR birthday today:) i wish him to get more oscar.","Are birthday today:) I wish him to get more oscars."
"As usual..iam fine, happy &amp; doing well..:)","As usual, I am fine, happy, and doing well. :)"
"No da. . Vijay going to talk in jaya tv","No. Vijay is going to talk on Jaya TV."
"A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:)","A pure hearted person can have a wonderful smile that makes even his/her enemies feel guilty for being an enemy. So catch the world with your smile. :) Good morning and have a smiley Sunday. :)"
"I sent lanre fakeye's Eckankar details to the mail box","I sent Lanre Fakeye's Eckankar details to the mailbox."
"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... ","Oh... Haha... Then we should have went today too... Gee, never mind la... Kaiez, I do not mind going jazz also... Scared hip-hop open cannot catch up..."
"My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.","My supervisor found four for me, or I think his students did. I have not asked her yet. I will tell you after I ask her."
"I will once i get home","I will once I get home."
"Are you this much buzy","Are you this much busy?"
"\Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?\""""","I'm at a restaurant eating squid! I will be out about 10:30. Want to do something, or is that too late?"""
"Me fine..absolutly fine","I am fine, absolutely fine."
"Already am squatting is the new way of walking","Already am squatting is the new way of walking."
"Oi when you gonna ring","Oi, when are you going to ring?"
"Sounds like something that someone testing me would sayy","Sounds like something that someone testing me would sayy."
"Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.","This is Yijue. I just saw your mail. In case Huiming has not sent you my number, this is my number."
"Quite late lar... Ard 12 anyway i wun b drivin...","Quite late, lah... Around twelve, anyway, I won't be driving..."
"I cant wait to see you! How were the photos were useful? :)","I cannot wait to see you! How were the photos? Were they useful? :)"
"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x","Jolly good! By the way, I will give you tickets for Saturday evening 7.30. Speak before then."
"Are you willing to go for aptitude class.","Are you willing to go for aptitude class."
"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.","Remember all those whom I hurt during days of satanic imposter in me. Need to pay a price, so be it. May destiny keep me going and as you said, pray that I get the mind to get over the same."
"Hi dear we saw dear. We both are happy. Where you my battery is low","Hi dear, we saw dear. We both are happy. Where are you? My battery is low."
"Da is good good player.why he is unsold.","That is a good good player. Why is he unsold?"
"Umma. Did she say anything","Umma. Did she say anything?"
"Wen did you get so spiritual and deep. That's great","When did you get so spiritual and deep? That's great."
"I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.","I have not woken since. I checked that stuff and saw that it is true, no available spaces. Please call the embassy or send a mail to them."
"Okie","Okay."
"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home","Oh, yes, I have just been a little under the weather so I have kind of been cocooning at home."
"I dont want to hear philosophy. Just say what happen","I don't want to hear philosophy. Just say what happened."
"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ","Hello gorgeous, how are you? My phone was on charge last night when you texted me. I hope you had a nice weekend, as I am sure you did. Looking forward to seeing you tomorrow. Love, Jaz."
"Am I the only one who doesn't stalk profiles?","Am I the only one who does not stalk profiles?"
"Sorry, I can't help you on this.","Sorry, I cannot help you on this."
"\AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.\""""","Ah, poor baby! Hope you are feeling better soon, love! Probably that overdose of work, hey? Go careful, speak to you soon. Lots of love, Jen, xxx."
"Unless it's a situation where YOU GO GURL would be more appropriate","Unless it is a situation where YOU GO GURL would be more appropriate."
"K, wait chikku..il send aftr  &lt;#&gt; mins","Okay, wait Chikku, I will send after &lt;#&gt; minutes."
"Wat r u doing?","What are you doing?"
"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up","Sorry man, I accidentally left my phone on silent last night and did not check it until I got up."
"Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:)","Imagine life without me... See, how fast you are searching for me? Don't worry, I am always there to disturb you. Good noon. :)"
"Lol wtf random. Btw is that your lunch break","Laughing out loud, what the heck, random. By the way, is that your lunch break?"
"Probably, want to pick up more?","Probably, want to pick up more?"
"Lol that's different. I don't go trying to find every real life photo you ever took.","Laugh out loud, that's different. I do not go trying to find every real life photo you ever took."
"My painful personal thought- \I always try to keep everybody happy all the time. But nobody recognises me when i am alone\""""","My painful personal thought: ""I always try to keep everybody happy all the time, but nobody recognizes me when I am alone."""
"I want to lick your pussy now...","I want to lick your pussy now..."
"Am only searching for good dual sim mobile pa.","I am only searching for good dual SIM mobile phone."
"Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/","Just woke up. Yeesh, it is late. But I did not fall asleep until &lt;#&gt; am :/"
"Oh god i am happy to see your message after 3 days","Oh God, I am happy to see your message after three days."
"Mm umma ask vava also to come tell him can play later together","Mm, I am going to ask Vava also to come and tell him he can play later together."
"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...","Say this slowly. God, I love you and I need you, clean my heart with your blood. Send this to ten special people and you see a miracle tomorrow. Do it, please, please do it..."
"Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?","Not thought about it... || Drink in tap and spile at seven. || Is that pub on Gas Street off Broad Street by the canal? || Okay?"
